Id;Tag;Tipo;latitudine;longitudine;icona;nome;descrizione;immagine;webpage;facebook;instagram;telefono;mail
1;A;0;131883139559655;431405994189427;;Calce di Pievefavera;Bla bla bla bla bla bla bla;1;http://www.google.com;;;;;
2;B;1;131904775853086;431404419828263;;Parcheggio belvedere;Bla bla bla bla bla bla bla;2;http://www.google.com;;;;;
3;C;2;13190921983790;4314119507469040;;Bar-Chiosco-Trattoria Valleverde;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
4;A;0;131946934618411;431398241284325;;Pievefavera;Bla bla bla bla bla bla bla;1;http://www.google.com;;;;;
5;C;2;132000520315912;431412338667740;;La mia braceria;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
6;B;1;132001432267592;431415391780415;;Area archeologica di Pievefavera;Bla bla bla bla bla bla bla;2;http://www.google.com;;;;;
7;C;2;131999996442105;431411844124432;;L’Officina (Negozio riparazione biciclette);Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
8;C;2;132060271714696;431461438678088;;Osteria sul Lago;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
9;C;2;132072007393611;431461815220951;;Ristorante da Lorè;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
10;C;2;131979030864478;431685531456167;;La Locanda dell’Infinito;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
11;C;2;132113479681966;431474345711348;;Ristorante Pizzeria Rispan;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
12;C;2;132098352024042;431467065888873;;Ristorante Pa’ e Salato;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
13;C;2;131899868356841;431756096697411;;Osteria da Remo;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
14;C;2;131931260520912;431749449782611;;Ristorante Petronius;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
15;C;2;132036788299887;431529030567658;;Azienda Agricola Maggi e Vecchioni;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
16;C;2;132078879814795;431550176304604;;Podere sul lago;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
17;C;2;131980700913807;431550346326292;;Azienda vitivinicola Serbon;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
18;C;2;131970343621052;431737237260335;;Azienda Agricola Quacquarini;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
19;C;2;131978315894329;431521002639019;;B&B Lucrezia e Cesare Borgia;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
20;C;2;132076892199140;431463033767057;;Hotel Ferranti;Bla bla bla bla bla bla bla;3;http://www.google.com;;;;;
21;A;0;131967350390645;431442159006917;;Lago di Caccamo;Bla bla bla bla bla bla bla;1;http://www.google.com;;;;;
22;A;0;131978779336184;431513213437888;;Borgiano (Frazione);Bla bla bla bla bla bla bla;1;http://www.google.com;;;;;
23;A;0;131909786015917;431510018806886;;Borgianello (Frazione);Bla bla bla bla bla bla bla;1;http://www.google.com;;;;;
24;A;0;131897519571316;431511896343110;;Fontanile;Bla bla bla bla bla bla bla;1;http://www.google.com;;;;;
25;A;0;131925456386962;431750272190319;;Fontana delle Conce;Bla bla bla bla bla bla bla;1;http://www.google.com;;;;;
26;B;1;132060524200689;431459651060631;;Enel X Way;Bla bla bla bla bla bla bla;2;http://www.google.com;;;;;
27;B;1;132027165769316;431467745341365;;Nextcharge;Bla bla bla bla bla bla bla;2;http://www.google.com;;;;;
28;A;0;131885234896892;431759879042412;;Serrapetrona;Serrapetrona è situata sulla destra del torrente Cesolone, in un territorio ricco di boschi di querce, lecci, noccioli, carpini paesaggisticamente interessante. Su questi terreni, prevalentemente montuosi e collinari, si produce la “Vernaccia di Serrapetrona D.O.C.G.” nata dalla passione di alcuni vitivinicoltori della zona, un vino spumante apprezzato a livello nazionale. Il borgo è munito di due cinte murarie medievali con quattro massicce porte.;29;https://www.comune.serrapetrona.mc.it;https://www.facebook.com/si.meaux;https://www.instagram.com/simeaux/;+393281595076;simone.mosciatti@icloud.com;
29;A;0;13008679;43253161;;Piazzale Gerani;Serrapetrona è situata sulla destra del torrente Cesolone, in un territorio ricco di boschi di querce, lecci, noccioli, carpini paesaggisticamente interessante. Su questi terreni, prevalentemente montuosi e collinari, si produce la “Vernaccia di Serrapetrona D.O.C.G.” nata dalla passione di alcuni vitivinicoltori della zona, un vino spumante apprezzato a livello nazionale. Il borgo è munito di due cinte murarie medievali con quattro massicce porte.;29;https://www.comune.serrapetrona.mc.it;https://www.facebook.com/si.meaux;https://www.instagram.com/simeaux/;+393281595076;simone.mosciatti@icloud.com;
